R	3.2322	1.5754	1.1290	1477010443700000	-0.0712	3.3950	-0.2028	0.9792
R	4.1599	1.6954	0.4379	1477010444500000	-0.3356	4.1478	-0.4399	0.8980
R	5.2380	1.7411	0.5721	1477010445300000	-0.7789	4.8112	-0.6494	0.7604
R	5.3214	1.8312	0.9725	1477010446100000	-1.3732	5.3436	-0.8181	0.5750
R	5.9471	1.9219	0.4468	1477010446900000	-2.0813	5.7114	-0.9354	0.3535
R	6.0972	2.0436	0.6743	1477010447700000	-2.8586	5.8916	-0.9940	0.1097
R	6.8392	2.1264	0.9491	1477010448500000	-3.6563	5.8728	-0.9900	-0.1409
R	7.3944	2.2022	0.2495	1477010449300000	-4.4242	5.6562	-0.9239	-0.3827
R	7.4867	2.3431	0.7131	1477010450100000	-5.1142	5.2554	-0.7997	-0.6004
R	7.6611	2.4212	0.0444	1477010450900000	-5.6828	4.6957	-0.6253	-0.7804
R	7.2778	2.5361	-0.4477	1477010451700000	-6.0944	4.0121	-0.4115	-0.9114
R	7.1814	2.6922	-0.2421	1477010452500000	-6.3230	3.2476	-0.1719	-0.9851
R	6.7521	2.7920	-0.1944	1477010453300000	-6.3543	2.4503	0.0784	-0.9969
R	6.4721	2.8791	-0.8770	1477010454100000	-6.1864	1.6703	0.3239	-0.9461
R	5.8071	2.9908	-0.8979	1477010454900000	-5.8297	0.9566	0.5490	-0.8358
R	5.3243	3.0759	-0.7558	1477010455700000	-5.3068	0.3539	0.7396	-0.6730
R	4.6605	-3.1148	-1.0402	1477010456500000	-4.6504	-0.0997	0.8838	-0.4680
R	4.1102	-2.9997	-1.0982	1477010457300000	-3.9018	-0.3759	0.9724	-0.2335
R	3.9073	-2.9628	-0.4118	1477010458100000	-3.1080	-0.4572	0.9999	0.0157
R	2.1062	-2.9687	-0.7082	1477010458900000	-2.3190	-0.3386	0.9646	0.2638
R	1.4656	-3.1297	-0.5849	1477010459700000	-1.5843	-0.0275	0.8686	0.4954
R	1.1824	2.7304	-0.5916	1477010460500000	-0.9500	0.4566	0.7181	0.6959
R	1.1439	1.9618	0.5200	1477010461300000	-0.4560	1.0832	0.5225	0.8526
R	1.8965	1.6244	0.9378	1477010462100000	-0.1334	1.8130	0.2941	0.9558
R	2.9937	1.5491	0.6460	1477010462900000	-0.0024	2.6000	0.0471	0.9989
R	2.8220	1.5697	1.6462	1477010463700000	0.0509	3.3969	0.1720	0.9851
R	3.9067	1.4330	1.1108	1477010464500000	0.2915	4.1576	0.4115	0.9114
R	4.7374	1.4222	0.7837	1477010465300000	0.7137	4.8347	0.6253	0.7804
R	5.4293	1.3236	0.9346	1477010466100000	1.2911	5.3854	0.7997	0.6004
R	5.9196	1.2586	0.3864	1477010466900000	1.9873	5.7753	0.9239	0.3827
R	6.1397	1.1381	0.5790	1477010467700000	2.7585	5.9798	0.9900	0.1409
R	6.7699	1.0382	-0.4394	1477010468500000	3.5564	5.9861	0.9940	-0.1098
R	7.6526	0.9278	0.1625	1477010469300000	4.3308	5.7937	0.9354	-0.3535
